IPA Symbol,Frequency
ɐ,262753
e,206173
o,183825
ɾ,169239
̪,154846
t,130047
n,125840
i,116829
k,115818
ɔ,102799
b,86266
ɪ,83962
d,76851
ʃ,75555
ʰ,73386
l,68233
m,68087
u,60131
̯,59501
͡,54262
p,52488
c,44084
।,43030
ʲ,40590
ɟ,38764
g,33591
h,33529
ʱ,30502
a,25289
s,16761
ɛ,14823
",",14815
/,11382
ŋ,9427
ɽ,9409
?,7453
r,5496
̃,4592
ʷ,3675
<,3269
>,3267
z,3240
-,3003
x,2781
f,2686
ʒ,2278
ɡ,2201
ʈ,1720
"
",1082
.,911
!,788
ɖ,754
v,705
j,619
ː,552
ʧ,435
‘,336
æ,198
:,172
ɦ,166
',108
"""",60
ʤ,44
w,44
ʂ,39
y,31
“,24
;,23
ɲ,20
–,19
ã,17
ɳ,13
ʊ,11
৷,10
 ,8
0,5
ʔ,4
‍,4
õ,4
3,3
6,3
ẽ,3
”,2
ṇ,2
ʋ,2
5,2
2,2
),2
(,2
\,1
—,1
=,1
[,1
],1
T,1
W,1
B,1
|,1
ম,1
া,1
ল,1
á,1
ə,1
ɑ,1
ĩ,1
̥,1
4,1
1,1
7,1
ũ,1
